epoch,train_loss,test_loss,accuracy
1,2.3031407332481324,2.302862964617978,10.0
2,2.303209597192457,2.3028183287116373,10.0
3,2.303111465995574,2.3028264410176855,10.0
4,2.303137910030687,2.302772462747659,10.0
5,2.3030847292726913,2.3026956965209573,10.0
6,2.3030310399696954,2.3028913622449156,10.0
7,2.302963652879076,2.3028537255183905,10.0
8,2.3031810299514808,2.302894517874262,10.0
9,2.266502637997308,2.0557350072131793,23.26
10,1.971422726236036,1.8645304076990503,30.38
11,1.8374375088135604,1.788347699839598,32.81
12,1.7846264212637606,1.7584436706676605,33.89
13,1.7434113772628863,1.7156039203048512,35.49
14,1.705399935965038,1.6911023118693358,36.16
15,1.6736871013251107,1.6601121881205565,36.89
16,1.6470045421434485,1.6423659795408796,37.05
17,1.6213209107708748,1.5997987446511628,39.63
18,1.594415227622937,1.5738200108716442,40.77
19,1.566175654416194,1.5434257065414623,41.98
20,1.5356834654308036,1.5102721012322007,43.05
21,1.5061315798088717,1.4885508201684161,44.23
22,1.4781252848522743,1.4586503551264478,45.34
23,1.4552699216186542,1.4459706112078041,45.95
24,1.4377681091618355,1.4277719054252478,46.96
25,1.419704990923557,1.3976532137318023,47.94
26,1.4010065993689516,1.401890310512227,47.58
27,1.3838619537975476,1.3664744348283027,49.37
28,1.3693485018389915,1.3624691370945827,50.08
29,1.3536067988409106,1.3437018515957388,50.36
30,1.3404217322769068,1.329349721313282,51.45
31,1.3240473912195172,1.328431964679888,51.11
32,1.3111973362200706,1.3104621247880777,51.96
33,1.2977112071288517,1.3118748831900822,51.89
34,1.2858551431190022,1.3037503259197163,52.74
35,1.273828949922186,1.2729796379994436,53.14
36,1.26307874917984,1.269048245469476,53.8
37,1.2509697984399089,1.265717817719575,54.14
38,1.2393785459001352,1.248485091385568,54.52
39,1.2276604631367851,1.2560624563769929,54.49
40,1.2176682850741365,1.2397382301130113,54.72
41,1.2055940423780085,1.2302987492008575,55.83
42,1.1939874967498243,1.211227023297814,55.97
43,1.180852044954934,1.2148771494816824,56.04
44,1.1713887097128213,1.1941264662772986,56.72
45,1.1626758306380123,1.175820299394571,57.73
46,1.1486863031259278,1.1992832126131483,56.69
47,1.140390890181217,1.179546927950185,57.53
48,1.1300769849201602,1.1943409268263798,56.82
49,1.1215337024777747,1.1509570369295254,58.24
50,1.1118762290386288,1.1477038738833871,58.51
51,1.101337633703066,1.1555483606970234,58.22
52,1.0899495564763197,1.1333408503775384,59.3
53,1.0816502276131563,1.1328997152626135,59.11
54,1.0709251670733742,1.1206273011341217,59.97
55,1.0602004207918405,1.1143147121569155,60.26
56,1.0520900893394294,1.1115839887576497,60.56
57,1.0407529934440427,1.1022717781886933,60.78
58,1.0323077849567395,1.0924574721391034,60.48
59,1.020428877276228,1.1061809176851989,60.56
60,1.0118147131732054,1.0944525906994085,61.1
61,1.0005312127530421,1.0911566523989296,61.65
62,0.992197116470093,1.0823818847631952,61.28
63,0.9838113275635273,1.0652693479683748,62.06
64,0.9719770076634634,1.0728612671232527,61.91
65,0.96316578732732,1.067563753219167,61.7
66,0.9543051417069057,1.0533958870893831,62.85
67,0.9417649673683869,1.05161863261727,62.85
68,0.9340815100523517,1.0559894404593546,62.7
69,0.9241040742305844,1.0464143635361058,63.23
70,0.9116716464919508,1.0435212106461738,63.14
71,0.9008640066132216,1.0462977628039707,63.15
72,0.8915415265218681,1.0459258518401224,62.98
73,0.8804084658241638,1.0394685735368425,63.69
74,0.8684940231425683,1.0442371979640548,63.39
75,0.8604507932577596,1.0471601615286177,63.54
76,0.8485562659209341,1.0231883001934952,64.41
77,0.8367020798003887,1.0261917797623166,64.46
78,0.8248797164624914,1.0168571244379518,64.74
79,0.8124154798896112,1.0318413213559776,64.34
80,0.8032288183946439,1.0155766678463882,64.43
81,0.7880968583742981,1.0162206489569063,64.74
82,0.776129531319184,1.0181012223860262,64.5
83,0.7630610311656352,1.0361023776850122,64.25
84,0.7494879029595943,1.0250412897699197,64.52
85,0.7374407711541257,1.0684456982810027,64.0
86,0.7224636495189594,1.0412612891500923,64.97
87,0.7075419268187355,1.0388252843337453,64.92
88,0.690958593507557,1.0636795968007131,64.73
89,0.676988056934703,1.0732312783314164,64.46
90,0.6615036076978039,1.124425873255274,63.2
91,0.6478900785565072,1.0841452521123704,64.6
92,0.6299571161303679,1.1090584875671727,64.6
93,0.60984616393171,1.12395906486329,64.83
94,0.5941608188021213,1.1236240423409043,64.92
95,0.5755060402786031,1.1431729459458855,64.18
96,0.5529330175589112,1.1835268697920878,64.59
97,0.537450626263838,1.2042544833414115,64.42
98,0.5124589446789164,1.220967546010473,64.09
99,0.4934030842712468,1.2883390119880627,64.5
100,0.4773538417714026,1.2667434393979942,64.19
