epoch,train_loss,test_loss,accuracy
1,4.527877230168609,4.3453493057542545,2.72
2,4.246704214674128,4.12803807987529,5.9
3,4.089782077028318,4.00403394365007,7.7
4,4.002239502299473,3.9221801970415053,9.25
5,3.9282961153923095,3.8532288590813897,10.07
6,3.8702053633492315,3.800240758118356,10.76
7,3.8228427241830265,3.767543868654093,11.25
8,3.7859117945136926,3.7370119580797327,11.98
9,3.7475028397786954,3.70469177300763,12.36
10,3.711569093377389,3.68035031579862,12.71
11,3.6775796431714616,3.645670503567738,13.61
12,3.6377070044617517,3.6131694878742193,14.3
13,3.5936473879362922,3.5666640943782344,15.6
14,3.544153261062739,3.5315497878250803,16.36
15,3.4958758399919474,3.488284906763939,17.25
16,3.452999237858121,3.457708472658874,17.73
17,3.4108260821198564,3.4249064952704558,18.24
18,3.3711153183446823,3.3954169795771314,18.73
19,3.3354062018796915,3.3595383167266846,19.37
20,3.2967736053344843,3.3400871617019554,19.78
21,3.258204868077622,3.315311720416804,20.67
22,3.21686972315659,3.289110400874144,21.12
23,3.181933544785775,3.271426126455805,21.31
24,3.1423921042391103,3.250201336137808,21.61
25,3.105392610325533,3.2317194391967385,22.18
26,3.0669731865148715,3.220609259453549,22.42
27,3.025205649378355,3.20437432398462,22.89
28,2.984438928496807,3.1829094097113155,23.47
29,2.9473890017365556,3.1754930763487605,23.55
30,2.9024942869420554,3.169401264494392,23.94
31,2.8651452067562992,3.1476019172911434,24.23
32,2.82227172662535,3.142834159219341,24.29
33,2.779313406675978,3.1254133889629583,24.76
34,2.7334417086428084,3.1231552643381106,24.84
35,2.692053507965849,3.1230460990006756,25.01
36,2.637787136275445,3.1231215303870523,25.5
37,2.5926994396292646,3.1372136355965,25.36
38,2.5446372725774564,3.133746262568577,25.41
39,2.4940704564609186,3.1557700968092415,26.04
40,2.4403494934901557,3.16713519460836,25.5
41,2.384992843546221,3.186936477187333,25.94
42,2.3283896560559185,3.180998299531876,25.54
43,2.2701579786627493,3.1920516475750382,25.79
44,2.2088651320208674,3.2366255741969794,25.82
45,2.1464512680497623,3.258394801692598,25.78
46,2.091994253723213,3.2974168191290207,25.5
47,2.019072236612325,3.3439280257862842,25.56
48,1.9556893401438622,3.3825536108320686,25.81
49,1.8877712428722235,3.4316471382311193,25.73
50,1.825713007498885,3.451906930109498,25.47
51,1.7556065702072494,3.483003581405445,26.18
52,1.6840240156559079,3.6076916904206486,25.78
53,1.6142157139375692,3.648583662737707,25.73
54,1.5463714115607463,3.7180664129317944,25.45
55,1.4727107623349065,3.7690938840246506,25.81
56,1.405596419902104,3.889551976683793,25.31
57,1.3400612894226522,3.974061153496906,25.56
58,1.2612540475700214,4.084539196293825,25.18
59,1.1938916710026735,4.1421566313239415,25.21
60,1.1374703083196869,4.225956231925138,25.02
61,1.0676087654002793,4.354436102946093,25.09
62,1.0028314770335127,4.484902785841826,24.42
63,0.942463058911626,4.607409516717218,24.49
64,0.887181535134535,4.710010618161244,24.9
65,0.8333672335004563,4.807786045560412,24.69
66,0.7751456972811838,4.889534140848051,24.59
67,0.7288018112139933,4.981415350725697,24.82
68,0.6780047453654087,5.1270047327515424,25.02
69,0.6348352977229507,5.198445558547974,24.98
70,0.593985918232852,5.448132019893379,25.01
71,0.5576137294587882,5.448378348806102,25.03
72,0.5222451902754471,5.574805940032765,24.45
73,0.4869891444930945,5.6892828941345215,24.7
74,0.4566195976475011,5.84912835564583,24.7
75,0.42473815989387614,6.001544791422073,24.34
76,0.3981078877054212,6.105243916724138,24.87
77,0.3739200406005163,6.1590591175541,24.65
78,0.34433217194226695,6.480553933769275,24.41
79,0.33139589701390937,6.317998360676371,24.91
80,0.31042566147568584,6.468170077937423,24.85
81,0.29665408007171756,6.574358882418104,24.34
82,0.2780923180929992,6.722589116187612,24.37
83,0.26868644373877276,6.627727359723133,24.98
84,0.25242056029246135,6.616049608607201,24.68
85,0.2395173006255151,6.79924478652371,24.77
86,0.22812622943249963,6.969234269136076,25.46
87,0.21604065306942025,7.146736943797701,24.84
88,0.206705390130315,6.956184350760879,25.08
89,0.19548990402627936,7.190546002357629,24.44
90,0.19007402368823587,7.1890952389711025,25.04
91,0.18444396301036906,7.171529429733374,25.33
92,0.1805546091169195,7.208296876044789,25.08
93,0.16540619142620308,7.373949676562267,25.34
94,0.1605818743229179,7.2214764576808665,24.99
95,0.15815778778356207,7.430401440638645,25.43
96,0.16362659468332216,7.413912791355401,25.23
97,0.14172981135651966,7.558676221568113,24.92
98,0.14309720040472876,7.671569839404647,24.71
99,0.13623465994692138,7.670979010831019,24.98
100,0.129574143956594,7.656032629073805,25.04
