epoch,train_loss,test_loss,accuracy
1,2.3030937879591646,2.30296896065876,10.0
2,2.3031984811548685,2.3027356506153276,10.0
3,2.3030513662206546,2.3029848496625376,10.0
4,2.3032568025467035,2.3026837194041843,10.0
5,2.30323196097713,2.3026609481519955,10.0
6,2.30329502147177,2.3029631626833775,10.0
7,2.303006160289735,2.3026894368943136,10.0
8,2.3033015194451414,2.302810722095951,10.0
9,2.3030339357493173,2.30281512904319,10.0
10,2.303160009176835,2.3026363561107854,10.0
11,2.30299011276811,2.3028116028779633,10.0
12,2.3032062815888152,2.3029861450195312,10.0
13,2.303118823434386,2.302984647690111,10.0
14,2.2787178174004223,2.098394785717035,21.04
15,2.0492223434131165,2.0062693198015737,25.49
16,2.0104206576371744,1.9716927747058262,26.28
17,1.9722802291440842,1.9327172428179697,27.54
18,1.9168644520022986,1.8786521853914686,28.65
19,1.8616210080473625,1.817506208541287,31.26
20,1.8054732991301494,1.760501939779634,33.14
21,1.7378865018525087,1.7046558986044233,35.57
22,1.6995263233818971,1.6742159940634564,36.97
23,1.6706355054055333,1.6468759061424596,37.86
24,1.6405963272694737,1.6311752659500025,37.99
25,1.6212171357306069,1.600363221897441,39.8
26,1.6067539038865462,1.5875033033881218,39.92
27,1.5931230184367247,1.5784528961606845,40.43
28,1.5804052456565525,1.5677685798353451,40.91
29,1.569144989675878,1.545672242049199,41.79
30,1.5509455545479074,1.5316850865722462,42.41
31,1.5334928979349258,1.5120354814893882,43.63
32,1.5116895508888128,1.487553254813905,44.36
33,1.4859703434702685,1.479066674876365,44.75
34,1.4628603272425853,1.450986632875576,45.5
35,1.4424671542918897,1.4266414065269908,46.33
36,1.4276679211565295,1.4190909460092047,46.88
37,1.4106423159694428,1.402175756017114,47.51
38,1.396605047271075,1.410297680812277,47.65
39,1.3867040526531542,1.379194286218874,48.58
40,1.372579783734763,1.362308331355927,49.91
41,1.3603215819734442,1.3555791742482763,49.97
42,1.3475130140171636,1.353945681243945,49.83
43,1.3338575641365003,1.3244643947880739,51.23
44,1.3219966454731533,1.3207431507718033,51.1
45,1.3111703597066346,1.3085461695482776,52.3
46,1.2949285676412265,1.2984067626819489,52.27
47,1.2850492899222752,1.2812922107186286,53.22
48,1.2738368014240509,1.2739508622770856,53.23
49,1.2624885407860016,1.2636699080467224,53.9
50,1.2509918733478507,1.3077495978896025,52.1
51,1.2419614910774524,1.2467681738981016,54.66
52,1.2308862303833827,1.2379124699884159,55.31
53,1.2207973154304583,1.2358880031640362,55.38
54,1.209958739978883,1.2096478138000342,56.25
55,1.1995846384474078,1.2271877792990131,55.5
56,1.1875377176210398,1.2209834410886096,55.82
57,1.1788299453380469,1.1961071115390511,56.69
58,1.1697127676528434,1.1894045058329394,57.34
59,1.160061739289852,1.1819153431874172,58.13
60,1.1523576796512165,1.1747748426571014,57.71
61,1.1424230320374373,1.159506688831718,58.15
62,1.1350824843587168,1.172593716603176,57.99
63,1.1236541964818754,1.160998722550216,58.14
64,1.117649873961573,1.14071611955667,59.35
65,1.1111356434614763,1.1407817161766587,59.77
66,1.0986264747426944,1.1331687087466003,59.37
67,1.0964199070582914,1.12395995475684,59.84
68,1.0856026887436352,1.1362836395099665,59.57
69,1.0773479443072054,1.113022037752115,60.83
70,1.0699137827319563,1.1048306052092534,60.66
71,1.0611740385022614,1.0977515293534394,61.09
72,1.0546783032014853,1.0995020505728994,60.91
73,1.0480918341585437,1.1297911561218796,59.19
74,1.0409606264527802,1.0850762257910078,61.16
75,1.0346832248713353,1.0810373903839452,61.68
76,1.025291340201712,1.0981726217421757,61.22
77,1.0217022452970295,1.068444999539928,62.17
78,1.0142910585683935,1.0597538314047892,62.33
79,1.0080410818309735,1.0774729764385589,61.97
80,0.9980035303041453,1.0444861156925274,62.87
81,0.9924124008249444,1.0414179829275532,63.3
82,0.985463458711229,1.0526698656902191,62.72
83,0.9793238048358341,1.0357339894695647,63.38
84,0.9699011562425462,1.0327305759593939,63.26
85,0.9637857776163788,1.0214768993626735,63.74
86,0.9608211650720337,1.0268652720056521,63.84
87,0.9504153219711445,1.0085707162595858,64.4
88,0.946853082960524,1.0638274554234401,62.48
89,0.9396554085299792,1.0156497389647612,63.96
90,0.9313230748143038,1.0140056462044928,64.11
91,0.9263377941173055,1.0077716662625598,64.4
92,0.9196751038436695,1.000517473099338,64.74
93,0.9138007773767651,1.008009683933987,64.76
94,0.9062744177439633,0.9811449460922532,65.51
95,0.9008056170800153,0.9730415222751108,65.5
96,0.8938726409316977,0.9751458247755743,66.05
97,0.8893758496055213,0.964331071467916,66.23
98,0.8857857661174081,0.9655724741091394,66.04
99,0.8771637728452073,0.9931140914084805,65.27
100,0.8712254729874603,0.9885697137018677,65.24
