epoch,train_loss,test_loss,accuracy
1,4.480484470382066,4.334095225971975,3.02
2,4.221100860849366,4.07653977157204,7.01
3,4.059882991149298,3.9742047072975497,8.11
4,3.9794795638155143,3.90536337445496,9.11
5,3.923135033958708,3.8602558852760653,9.9
6,3.8792884932149705,3.815585965563537,10.39
7,3.8351949843604243,3.776389831190656,11.09
8,3.7947558033496827,3.733285346608253,11.86
9,3.7441940664330406,3.687308987234808,12.83
10,3.7010494964506924,3.6469059992747703,13.23
11,3.653445187432077,3.608739793680276,14.3
12,3.614528759970994,3.5708940788439123,14.91
13,3.5787298633619344,3.5421002154137677,15.74
14,3.5368626800644427,3.505050633363663,16.71
15,3.5030696620721646,3.4737397500663807,17.21
16,3.461766937199761,3.437785339962905,17.77
17,3.417876786892981,3.3946097686791874,18.27
18,3.3736760598009505,3.3534220145766143,19.32
19,3.3320088087750213,3.313483986884925,19.94
20,3.2874239549002686,3.2770615413690067,20.99
21,3.2452594020482524,3.2425768223537763,21.64
22,3.2079408412699197,3.2247182715470624,22.05
23,3.171425123043987,3.190668332348963,22.48
24,3.1350554026606137,3.176094355856537,22.8
25,3.1020548233900533,3.1402771533674496,23.7
26,3.0604955799439373,3.1162693348659833,23.78
27,3.0277017168986524,3.0959620460583146,24.34
28,2.9912469121806153,3.0925240865938224,24.53
29,2.9566044755603955,3.040999868113524,25.36
30,2.9217499171376535,3.0225230569292787,25.52
31,2.883699818950175,3.006139413566346,26.06
32,2.8498312536712804,2.9875581021521502,26.28
33,2.8205626574928497,2.9750870716799596,26.92
34,2.7828097367835474,2.959853000701613,27.12
35,2.7492800429653936,2.9356886824225166,27.82
36,2.7194974840144672,2.9341055952059993,28.04
37,2.6821614732522794,2.9172142159407306,27.8
38,2.6533619067857943,2.90320522314424,28.5
39,2.6196211320359994,2.9224880273175087,28.63
40,2.5841205274052634,2.8868803066812503,28.85
41,2.5470276511538668,2.8874445979002936,29.32
42,2.515830620322996,2.8860644398221544,29.31
43,2.4798367898482496,2.8778883985653043,29.57
44,2.447978694115758,2.87777422036335,29.71
45,2.4143138966901834,2.8784101130856072,30.13
46,2.3813727946232652,2.8742930722084776,30.51
47,2.342834921291722,2.8816957276338226,30.23
48,2.2986788947868835,2.870308364272877,30.73
49,2.2717021696098016,2.8835664706624997,30.66
50,2.2345874396431475,2.880291363236251,30.54
51,2.194181744399888,2.895749090583461,30.49
52,2.15617202889279,2.90797148996098,29.85
53,2.1126699016222257,2.9251232587607805,30.46
54,2.0738473362325096,2.9191720774219294,30.65
55,2.0347696361334426,2.9364260123793486,31.07
56,1.99492827507541,2.9727579378018714,30.7
57,1.9478728727001668,2.9675544143482377,30.66
58,1.917673232000502,2.979234501055092,31.02
59,1.8693597749675936,3.002138127187255,31.12
60,1.8224581181240813,3.0114948415452507,31.1
61,1.7815811161494925,3.0330948905580364,30.79
62,1.7348007745754994,3.06804455009995,31.08
63,1.6950491067698545,3.116848485485004,30.99
64,1.6517407351442615,3.112173302158429,30.84
65,1.5995695081818135,3.1661504848747497,30.86
66,1.5613817678540565,3.179558843564076,30.97
67,1.516064407575466,3.1928683785116596,30.42
68,1.4701443380102173,3.22935578473814,31.14
69,1.4241204126106808,3.2639772451607283,31.06
70,1.3884271030383342,3.293814651525704,31.0
71,1.3459910280106928,3.302903348473227,30.77
72,1.2986734467546652,3.38716501339226,30.67
73,1.2578809371842143,3.3763579487041304,31.2
74,1.2109326329225165,3.4332836312093553,30.84
75,1.1705457832654724,3.5035132374733116,30.3
76,1.1254933551144417,3.55260832446396,31.03
77,1.0854576351240164,3.6146646426741484,30.94
78,1.0497011949339181,3.647848934124989,30.62
79,1.0065366948961907,3.69335225433301,30.95
80,0.9682599020278667,3.777006604868895,30.43
81,0.9334786276683174,3.8199030426657123,30.67
82,0.8919000399234654,3.860161266509135,30.5
83,0.8590249756870367,3.8832167455345203,31.0
84,0.8242165845297181,3.9547662826100733,30.45
85,0.7945519428119026,4.013845102042909,30.83
86,0.7559171791576669,4.055948776803958,30.96
87,0.7283836488452409,4.09932185889809,30.51
88,0.6960669107296887,4.119589482143426,30.78
89,0.659318321348761,4.235767138232092,30.33
90,0.6342615122380464,4.238525735344856,31.3
91,0.6063639542559529,4.341958518240862,30.61
92,0.5825653013289737,4.351153445091977,30.91
93,0.5621139678313299,4.462826100124675,30.6
94,0.5361427568146945,4.461726949473095,30.28
95,0.5175186324759823,4.541990295337264,30.38
96,0.4893344032299488,4.572115267917609,30.88
97,0.471089783093661,4.623710266344107,30.62
98,0.45006478217709095,4.734888845188602,30.77
99,0.4355588065236426,4.720665486754885,30.56
100,0.42084170818862404,4.71355405127167,30.82
