epoch,train_loss,test_loss,accuracy
1,4.540727659259611,4.4056582268635935,3.18
2,4.294655391932143,4.171707141171595,5.28
3,4.116328475115549,4.011074550592216,7.61
4,4.0054658041585744,3.9252582355669348,9.1
5,3.93292573193455,3.8492301451932094,10.24
6,3.8707827799155585,3.8111373679653093,10.43
7,3.824416557846167,3.7623728597240085,11.18
8,3.780228203519836,3.7279780503291233,11.85
9,3.739924273222609,3.6883554352316885,12.98
10,3.697458704109387,3.646361059443966,13.79
11,3.6454048306130997,3.5986723368334923,14.78
12,3.589776698280783,3.5463142820224642,15.57
13,3.536921025846925,3.493929709598517,17.09
14,3.4875149046978375,3.441844100405456,17.7
15,3.433671363784224,3.3977189580346367,18.96
16,3.3898249660306576,3.3567019328949557,19.72
17,3.347092706224193,3.331480509156634,19.87
18,3.3043745862858374,3.2939624224498774,20.59
19,3.263763311269033,3.259079740305615,20.97
20,3.2287044647099723,3.2391634928952358,21.4
21,3.1929697249551565,3.218538539424823,21.88
22,3.150247310128663,3.186857341960737,22.67
23,3.1158525489480295,3.1577929129266433,23.32
24,3.0808520082317656,3.1368461262648273,23.92
25,3.040765000426251,3.1179173433097307,24.39
26,3.002896894579348,3.0804176285008715,24.98
27,2.962144935222538,3.058389640917444,25.37
28,2.9260686035351373,3.0412919308729234,25.3
29,2.8910541449056564,3.0263033626945157,25.68
30,2.8491592294419816,3.0080999432096056,25.87
31,2.808513948374697,2.9908913821931096,26.21
32,2.769836106263768,2.9715219622205016,26.78
33,2.732817144650023,2.965277211681293,27.14
34,2.6962200650168806,2.9438966672131968,27.7
35,2.655608883294303,2.933993274239218,27.74
36,2.6185190279770385,2.9142275069169936,27.96
37,2.572344520207866,2.9206217990559376,28.61
38,2.530206032421278,2.901272255903596,28.59
39,2.4943989966531546,2.9073507299848425,28.98
40,2.452303616439595,2.9099818490872718,28.97
41,2.408593025506305,2.930469224407415,28.91
42,2.3665442474357916,2.89396685096109,29.5
43,2.3213089875248083,2.8944842132033815,30.17
44,2.2743436538654827,2.911526878927923,29.55
45,2.2347528475629703,2.902357010325049,29.89
46,2.1814056665391264,2.9289394913205675,29.93
47,2.134592978698213,2.931988805722279,30.01
48,2.0883349177172725,2.949851160596131,30.29
49,2.0377804482989297,2.9482500279784962,30.51
50,1.9878108598996915,2.9687005167554137,30.25
51,1.934246649675052,2.987466639014566,30.25
52,1.8894159318236134,3.015476492559834,30.29
53,1.8303576044719239,3.049576431323009,29.35
54,1.772746130328654,3.073488609046693,30.26
55,1.7228531226172776,3.0803504142032305,30.29
56,1.6722768478076477,3.0973400689993693,30.19
57,1.6150566179429173,3.1382446319434294,29.62
58,1.5526905073534192,3.2002061370072092,30.31
59,1.5034920144873811,3.2541702067016796,30.24
60,1.4487564810706526,3.2539355329647184,29.98
61,1.3944910181605297,3.2977803558301013,30.06
62,1.3404958118563113,3.352582958853169,29.97
63,1.2849240011876197,3.3961813920622417,30.41
64,1.2314296391461512,3.4505063166284256,29.75
65,1.1707360611089965,3.5188431861294305,29.3
66,1.127402786327445,3.5496578656943742,29.76
67,1.0820553391943197,3.632801389997932,29.77
68,1.019815458437366,3.729086010319412,29.58
69,0.9789193367104396,3.716694462830853,29.22
70,0.9339186186375825,3.7825118599423937,29.7
71,0.8833177108746355,3.8224285347446516,29.9
72,0.8480932440827874,3.8977747069802255,29.89
73,0.7955675868655715,3.9882715325446645,29.71
74,0.7555940147784664,4.075863806305418,29.54
75,0.7179976726127097,4.170997259723153,29.47
76,0.6854612028126217,4.208531531558674,29.86
77,0.6397838290695035,4.288306987968979,29.43
78,0.6135020212215536,4.336206976775151,29.7
79,0.58256384873253,4.399607962104166,29.45
80,0.5545077100586708,4.509926844554342,29.58
81,0.5295350410977898,4.592124000476424,29.5
82,0.4995585803676139,4.7212635772243425,29.5
83,0.46754124932124486,4.644796723772766,29.79
84,0.4450787338225738,4.71094710204252,29.2
85,0.4314443227141867,4.859718757070554,29.7
86,0.39969820849349735,4.924491756281276,29.42
87,0.379370226293726,4.965315200720623,30.04
88,0.36792635153550324,5.017838134887112,29.85
89,0.35010282979215807,5.126427518334358,29.46
90,0.3273246699510633,5.2038635554587005,29.53
91,0.3182739734535327,5.163037975882269,29.25
92,0.2969118173155562,5.403428243224028,28.72
93,0.2875012285874018,5.351286464436039,29.33
94,0.27796267209303044,5.369652594730353,29.47
95,0.2645692397909396,5.498600766916943,29.25
96,0.256253947734909,5.613666795621253,29.41
97,0.24451890546838037,5.455154772776707,29.55
98,0.2325646958845046,5.690388381860818,28.97
99,0.22210648604442396,5.580410289156968,29.86
100,0.218947016469696,5.731521913200427,29.58
