epoch,train_loss,test_loss,accuracy
1,2.186684928586721,2.0160544161583966,21.88
2,1.899011565443805,1.8132516905001015,29.12
3,1.778774563613755,1.7618404163676462,32.14
4,1.7230040851761312,1.6722312953062117,34.72
5,1.6791298697366739,1.6614848656259524,36.58
6,1.6332359132559404,1.582608260166873,39.62
7,1.5902920836377936,1.5374636156543804,41.29
8,1.541754640124338,1.4848893174699918,43.91
9,1.4936300395699718,1.4788233740314556,44.55
10,1.4546556151126657,1.4181574340079242,47.23
11,1.4213883238070457,1.4328873127129427,46.96
12,1.3928953329163134,1.405761760511216,47.91
13,1.3637070436306926,1.4621733730765665,46.77
14,1.3349841510700753,1.3216777466664649,50.51
15,1.3156770679651928,1.3468322677976767,50.12
16,1.2940802384367989,1.3077453727934771,52.24
17,1.2757824626572603,1.2680430818515218,53.4
18,1.244643259460054,1.2688704038121899,53.74
19,1.2303221814925103,1.2153587371680388,55.52
20,1.2056779979592394,1.1890411012491602,56.74
21,1.1841418917679116,1.188248395160505,56.93
22,1.156432930237192,1.157469974581603,58.17
23,1.1412182977742247,1.1587265137654201,58.15
24,1.1099059103852342,1.138964194780702,58.9
25,1.0878195327413662,1.2277435033944002,56.19
26,1.0680331725751042,1.1008036178388414,60.21
27,1.0530529134261333,1.071592976712877,61.1
28,1.0288528136889954,1.132068164409346,59.18
29,1.0178023489082562,1.1253873827351126,58.8
30,0.989709390856116,1.0860292846989479,60.83
31,0.9786848384705956,1.0650378526396054,61.81
32,0.9595942023922416,1.018863770612486,63.08
33,0.942568024024939,1.004014931286976,64.08
34,0.928031609872418,1.01110473294167,63.44
35,0.906992681724641,0.9799353810632305,65.04
36,0.8969689799696589,0.9813857701174014,64.69
37,0.8767229852926396,0.9724395977463692,65.19
38,0.864614093357035,0.9617650349428699,65.77
39,0.8467623929081061,0.9536280240982201,66.32
40,0.8271603172316271,0.9390370515501423,66.67
41,0.819584275755431,0.9855933994244618,65.34
42,0.7959646118037841,0.9438657001325279,66.74
43,0.7824982653950792,0.919042727370171,67.66
44,0.7706095728346759,0.9168298677274376,67.74
45,0.7511150456984025,0.9524913160664261,67.25
46,0.7424337203088014,0.9169407481220877,68.2
47,0.7196616844829086,0.9099681874749007,68.53
48,0.7073441530432543,0.9096951843446986,68.82
49,0.6886053043786827,0.867068908966271,69.61
50,0.6685213342575771,0.9336947045128816,68.25
51,0.6575286336948195,0.9224076369765458,68.52
52,0.6397397983104677,0.9015304169077782,69.67
53,0.6260749290666312,0.9196310478031255,69.74
54,0.6040664979868837,0.9049048755958582,70.16
55,0.586952543548306,0.9235886935215847,69.77
56,0.5737971604785042,0.9299760737996192,69.82
57,0.5542989712770637,0.9627940668042299,69.32
58,0.5382402434640223,0.9186877435559679,70.1
59,0.52542046303182,0.9357962433699589,70.34
60,0.5026695084998675,0.9431067143276239,69.67
61,0.4864252814856332,1.029179719413162,69.46
62,0.4764791773560712,1.0127317666248152,69.1
63,0.458268790941714,0.9909684825095402,70.08
64,0.4329528916255592,1.0183713185559413,69.06
65,0.42241140300660485,0.981884334497391,71.47
66,0.4075486162663116,1.0304775205767078,70.13
67,0.3835239281492008,1.04812092765881,70.48
68,0.3716679726300947,1.1122390494984427,69.89
69,0.3555579829265547,1.0832236944490177,70.95
70,0.34674381912516816,1.0614631644859436,71.03
71,0.32318136804853864,1.0790040868862418,70.98
72,0.3125770815536189,1.1587381154108958,70.79
73,0.3011444111633331,1.202216000693619,70.06
74,0.27855668510393716,1.1584423903826695,70.79
75,0.2750782871433079,1.1409129458627882,70.76
76,0.26042416877568225,1.166213150616664,70.77
77,0.25334444926942096,1.2273491586849188,69.8
78,0.23424302623666765,1.3093388410890179,69.71
79,0.22893564390909413,1.2107053334545936,71.23
80,0.21525093321890934,1.367954126588858,70.64
81,0.20731893120347844,1.3265050915396137,71.41
82,0.18691708708701232,1.319570187170794,71.33
83,0.18246708526883437,1.3330979077679337,71.16
84,0.177114492291799,1.3571004922602588,70.74
85,0.16933561548771683,1.3829704447157065,70.69
86,0.1573732983597252,1.4149416161190933,71.14
87,0.16099151016553612,1.4104285046553156,70.65
88,0.14361279171860547,1.4257152038774672,70.51
89,0.135426457155534,1.4530875908721024,70.64
90,0.12431885232991727,1.4900359108949164,70.33
91,0.12996549454524808,1.490455467609843,70.57
92,0.11259174007860481,1.5816004359798066,70.14
93,0.12162030405243454,1.5685373734516703,69.47
94,0.09992398442152668,1.5781250087318905,70.51
95,0.10926690594652844,1.555064547973074,70.07
96,0.09942381403258885,1.5746616671799094,70.93
97,0.10254471669571422,1.540668590812926,70.15
98,0.09213135588635474,1.5838419833001058,70.96
99,0.09884569722244425,1.6894188906736434,68.23
100,0.0905700927919439,1.5379648481964305,70.06
