network,dataset,activation,param,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_accuracy,std_accuracy
VGG16,CIFAR10,gelu_a,0.0,0.8974903809267136,0.020112821077496717,0.9981034227617227,0.0161800259617713,65.39333333333333,0.5564969801255784
VGG16,CIFAR10,gelu_a,0.25,0.7202491627318522,0.2231469361331586,1.4285718967580494,0.42760914096095115,58.44,3.312793383234158
VGG16,CIFAR10,gelu_a,0.5,0.4856487330091357,0.2907530698879727,2.1214753559440562,1.1076255720163926,56.71666666666667,3.8917034259505874
VGG16,CIFAR10,gelu_a,1.0,0.13540722552814907,0.04367291672590445,2.7272402703382417,0.26113430422270356,60.06,0.4758851402036697
VGG16,CIFAR10,gelu_a,2.0,0.1321052236404792,0.053189247579898756,2.450339859382362,0.5085588011449143,64.55333333333333,2.318625071507302
VGG16,CIFAR10,gelu_a,5.0,0.12619606334024736,0.04150562232286864,1.8866082302957077,0.19520575053365977,68.02666666666667,0.33954217541991627
VGG16,CIFAR10,gelu_a,1000.0,0.07093737495986495,0.008039148020412373,1.961897447319294,0.08736361598053591,67.93666666666667,0.5774849685393428
VGG16,CIFAR10,silu_a,0.0,0.8727565827361051,0.02546465387459693,0.9754356382632206,0.021937642766328556,66.54333333333334,0.4699172503986466
VGG16,CIFAR10,silu_a,0.25,0.7523713375874442,0.30084395758534,1.4619045272754256,0.528893220887517,59.303333333333335,2.7376672957505686
VGG16,CIFAR10,silu_a,0.5,0.9466397887249837,0.023502350226451186,1.0787556337955906,0.025881551208369553,62.17666666666667,0.793319327607463
VGG16,CIFAR10,silu_a,1.0,0.31948602848254753,0.33762543529619077,2.716480092460689,1.1243060644623966,57.35,2.9568902583626606
VGG16,CIFAR10,silu_a,2.0,0.4188020501318344,0.14450446758892108,1.6948235088219816,0.4109081038754075,61.24,0.9408861071706116
VGG16,CIFAR10,silu_a,5.0,0.15413460626228392,0.04701485845893351,1.883374383279979,0.16740472990941632,67.42,0.5920022522479691
VGG16,CIFAR10,silu_a,1000.0,0.08045961973724314,0.01568894919605159,1.7816905379548447,0.09351829215233114,69.07666666666667,0.3890444133457729
VGG16,CIFAR10,zailu,0.0,0.8810143585984563,0.021809189794399636,0.9871576175315112,0.01599926110072265,65.77333333333333,0.44850368510811234
VGG16,CIFAR10,zailu,0.25,0.7101208887095519,0.2516067184633297,1.4350327366350053,0.5462469052186324,60.10333333333333,3.799441479422411
VGG16,CIFAR10,zailu,0.5,0.528199125921873,0.3583272878632366,2.1954871256766557,1.2069683929464288,56.580000000000005,4.626618635677682
VGG16,CIFAR10,zailu,1.0,0.39755219322631663,0.23547904368666833,2.119400893654793,0.7340406100228418,57.73666666666666,3.5951294212525307
VGG16,CIFAR10,zailu,2.0,0.6146137867202285,0.06129567430396697,1.0970525103326563,0.07391267691119187,64.93666666666667,0.5295490744229701
VGG16,CIFAR10,zailu,5.0,0.376455518859518,0.17386344221060349,1.348215712616398,0.5527240157054388,68.86333333333333,2.536616293849397
VGG16,CIFAR10,zailu,1000.0,0.08071453899064689,0.008955133059602995,1.936743730192731,0.09923093365579741,67.67,1.0773114684249832
