network,dataset,activation,param,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_accuracy,std_accuracy
VGG11,CIFAR10,gelu_a,0.0,0.5887421507226385,0.024096846436880537,0.9046311496739177,0.02158428985639511,70.24000000000001,0.5514224031236571
VGG11,CIFAR10,gelu_a,0.25,0.5766507438216469,0.12813205788773113,1.0875714041941231,0.22893503717243777,67.26666666666667,1.6246093547544147
VGG11,CIFAR10,gelu_a,0.5,0.39392329230471856,0.1891253769385754,1.453431538437076,0.5037037167378904,65.34666666666668,1.6987315529208533
VGG11,CIFAR10,gelu_a,1.0,0.0999548264195784,0.02234530316071812,2.3265689407311174,0.18242785050824656,64.66000000000001,0.4181706190858775
VGG11,CIFAR10,gelu_a,2.0,0.17685262433735363,0.07477409158549227,1.7189411141310524,0.37626170332055603,68.40333333333332,1.1020082677649088
VGG11,CIFAR10,gelu_a,5.0,0.07771085052389652,0.013947711445472738,1.7056051402208405,0.09537287845819059,72.35333333333334,0.43222936298014264
VGG11,CIFAR10,gelu_a,1000.0,0.0282726620982517,0.006433142811567203,2.1830207193479922,0.10072190476977488,70.45333333333333,0.8109802025258658
VGG11,CIFAR10,silu_a,0.0,0.5844139045150435,0.02090466289208492,0.9049810575578369,0.016587316072395997,70.44333333333334,0.4305293898859361
VGG11,CIFAR10,silu_a,0.25,0.6454873876485779,0.021787769929995253,0.9311767213410379,0.028825419307844193,69.07000000000001,0.9548123724934995
VGG11,CIFAR10,silu_a,0.5,0.5319737957045754,0.04748346893372978,1.0888739530637763,0.037946044594738555,66.28666666666666,0.20499322482028776
VGG11,CIFAR10,silu_a,1.0,0.21634059060299063,0.18636587022731146,2.12617211065348,0.7330410008989194,64.02,2.4255446123843334
VGG11,CIFAR10,silu_a,2.0,0.1424992630551176,0.05398793084461972,2.003787148024119,0.270264377492574,65.63333333333333,0.45842726310239595
VGG11,CIFAR10,silu_a,5.0,0.13743134352173308,0.026351040005854795,1.5527766072446376,0.14185043954928958,71.22333333333334,0.11440668201153732
VGG11,CIFAR10,silu_a,1000.0,0.028963481347213032,0.008532440316264805,2.092538191280041,0.1128360245440361,70.32,0.6130252849597642
